X,expected,predicted
0.3024718977,-12.9203658281,29.0958721924
-1.2704849985,-169.4500382488,-122.2125738442
1.5327792144,126.66049136,147.4436086572
-1.6020576556,-118.4896276946,-154.1077539458
1.1394006845,101.1390425723,109.6030968204
-0.5096521818,8.6151112575,-49.0252974033
0.4074618362,62.1982993123,39.195236315
0.7610377251,88.8666192147,73.2069873266
0.4438632327,31.2222326653,42.6968190677
0.3781625196,13.459418294,36.3768284608
-1.4543656746,-181.3070512622,-139.9007250107
-1.0707526215,-90.2779339523,-102.9995899056
-0.4136189808,-51.3683775759,-39.787514445
1.9229420265,126.2266406257,184.9747889109
-0.8954665612,-55.860850171,-86.1381860985
-0.3873268174,-4.0296352629,-37.2583756052
-1.5447710968,-155.5327527393,-148.5971514519
-0.8034096642,-87.333529462,-77.2828982845
-0.4555325035,-87.6752945907,-43.8193286744
-0.5108051376,-70.9779359825,-49.1362044176
0.1666734954,38.6891992933,16.0329298538
0.9222066716,90.896124077,88.7104145919
1.1787795712,74.5820668059,113.3910951787
-0.6743326607,-19.4622290286,-64.8665117529
-0.5788496648,-59.1286206455,-55.6816550247
1.895889176,159.198745601,182.3724768118
0.4393917013,59.0777661539,42.2666861878
-0.6343220937,-66.548267062,-61.0177497628
-1.630198347,-159.0324133888,-156.8147094194
2.2408931992,231.2635596908,215.5596688751
-0.4378200447,-26.0643533062,-42.1155028297
-1.7062701906,-196.0161844227,-164.1323367993
1.4805147914,126.8772231018,142.4161036858
0.3563663972,52.8592331425,34.2801801534
-1.3477590611,-134.1016534582,-129.645847043
0.1440435712,3.2886259419,13.8560751196
1.3263858967,96.3962489949,127.5898846015
2.1632359493,224.2881084644,208.0895354994
0.6536185954,105.6391342633,62.8739504649
-1.0002153474,-127.2059643107,-96.2143529035
-0.6436184028,-48.4504290955,-61.9119955587
-0.8264385387,-117.435992643,-79.498129497
-1.2254355188,-141.5780095771,-117.8791005127
-0.2127402802,-33.5603742513,-20.464261472
0.7290905622,35.4906076792,70.1338735014
-0.1496345403,-14.5669579149,-14.3938907828
-1.9807964682,-201.4267515442,-190.5400181282
0.5765908166,1.306339365,55.4643682038
0.5232766605,88.9150624141,50.335885581
-0.4380743016,-55.9333764335,-42.1399607226
0.2670508693,70.924872082,25.688594615
-1.0994007906,-102.7542429623,-105.7553615067
-0.2082987556,-53.1028976671,-20.0370150597
0.625231451,36.4790025315,60.1432877755
-1.25279536,-153.1819762278,-120.5109431707
-1.2928569097,-93.6955132794,-124.3646093719
-0.6358460784,-30.9821597415,-61.1643473949
-1.2348258204,-148.0520277469,-118.7823877768
-0.2051582638,11.6926403949,-19.7349197276
1.7858704939,180.6917954381,171.7893795462
-1.3159074105,-170.950964746,-126.5819208971
0.3336743274,52.84720496,32.0973474089
0.4283318705,-12.3413157671,41.2028008354
2.269754624,219.8470758046,218.3359543189
-0.6895497778,-117.8394476499,-66.3303016037
0.0457585173,-3.4484837677,4.4016782421
-1.7262826023,-218.1802806136,-166.0574034836
0.9494208069,68.4998224126,91.3282412732
2.3831447749,230.8775809181,229.2433654286
0.672294757,28.7248769939,64.6704783877
-0.4017809362,-27.6792265033,-38.6487698745
-0.6848100909,-38.7096752915,-65.8743738872
-0.3023027506,-23.7924387418,-29.0796013113
1.4940790732,154.3374516339,143.7209012896
-1.0930615087,-120.7075848889,-105.1455629238
-0.4980324507,-22.9898949058,-47.9075532018
-1.1731234051,-116.37425178,-112.8470079905
1.7133427216,188.3389280744,164.8126692874
1.3365279494,61.0276499294,128.5654855508
0.4656624397,78.3337223118,44.79376409
-0.4351535517,-71.339993575,-41.8590031655
-1.4200179372,-108.7088613444,-136.5966911962
-0.6724604478,-63.5986245342,-64.686416785
-0.6634782864,-78.6422203792,-63.8223900028
0.9208588238,36.8191885634,88.5807602101
-2.5529898158,-285.8760797003,-245.5813777911
1.8675579901,158.6653523372,179.6471969772
0.4019893634,7.0735878502,38.6688192487
-0.6510255933,-56.4741275245,-62.6245201561
-0.6945678597,-58.0761577685,-66.8130091645
-1.0342428418,-63.1466761586,-99.4875813765
-2.2234031522,-282.3241478201,-213.8772376301
1.1266359221,108.8143076379,108.3752078852
1.4693587699,175.4777713594,141.3429653905
0.4001572084,14.4914311548,38.4925775866
0.0519453958,30.7594411812,4.9968165914
-0.7474548114,-108.8181909449,-71.9003974445
0.8443629764,67.0971576018,81.2223463699
-0.1032188518,2.8778837609,-9.9289968492
-0.8540957393,-187.6016198127,-82.1585762397
-0.3539939113,-93.0898081509,-34.0519621019
-1.1806321841,-88.3838110179,-113.5693047591
-0.9072983644,5.7695872332,-87.2763302897
0.3169426119,73.4059197714,30.4878628322
1.1880297924,65.9736038057,114.2809076062
-0.7699160744,-67.5352617077,-74.0610280437
0.1563489691,-3.8494811597,15.0397761129
0.900826487,80.4342369408,86.653776856
-0.0281822283,34.4596783034,-2.7109510667
-0.3479121493,-25.5481260289,-33.4669352975
0.8568306119,108.8797022063,82.4216535842
0.2982381742,41.5310434557,28.688614924
0.9693967082,78.3791499575,93.2497958821
-0.3115525321,22.3217901539,-29.9693714482
-0.1799248358,3.0031798487,-17.3076244972
1.454273507,164.4758573217,139.8918590705
-0.268003371,-50.0237008664,-25.7802192091
0.9060446583,46.5437465659,87.1557317383
-1.1043833394,-134.4713140818,-106.2346510058
-0.18718385,-23.3872862681,-18.0058954816
0.944479487,87.7245587661,90.8529177328
0.6140793703,67.8195497691,59.0705285651
0.1549474257,9.8302390198,14.904956554
0.1269120927,24.1657076899,12.2081358849
0.8644361989,90.0107229923,83.1532626616
-0.1513572083,-10.5598655568,-14.5596004817
1.8675589604,197.0412541923,179.6472903116
1.2224450704,134.6031295587,117.5914383977
-0.7421650204,-79.121465983,-71.3915532014
-0.9128222254,-98.3559810874,-87.8076905801
0.1289829108,40.6623655521,12.4073354068
1.5430145954,124.3383449355,148.4281871951
-0.1715463312,-51.1536765763,-16.5016656609
-0.1550100931,-26.4213003339,-14.9109847586
0.6815945183,0.4823604701,65.5650562553
0.0875512414,5.8589328799,8.4218724075
0.0665172224,-17.4870415739,6.398533601
-0.0392828182,-31.4790080779,-3.7787571905
1.4882521938,177.7002876047,143.1603925665
-0.8612256851,-104.4302316267,-82.8444316593
0.4627822555,29.7111815561,44.5167086936
-0.3595531615,-59.0188934515,-34.5867266108
0.5392491913,114.405592146,51.8723414206
0.4023416412,41.6483068504,38.7027061253
1.764052346,139.7635863596,169.6906125248
-1.1651498408,-87.1928690215,-112.0800018308
0.6764332949,33.9551333212,65.068579407
1.9295320538,216.917595278,185.608707614
-0.744754822,-77.5031917501,-71.6406756427
0.017479159,-15.4516786685,1.6813838933
